CODE,REGION,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,CATEGORIA,TIPO_DE_CATEGORIA,SUB_TIPO_CATEGORIA,URL,LATITUD,LONGITUD,REGION_GEOGRAFICA
12912,LIMA,OYON,PACHANGARA,Fiesta Del Agua Comunidad Campesina De Huacho ,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,"Fiestas Tradicionales(Herranza, carnavales, otros)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12912,,,0
13301,LIMA,HUAROCHIRI,SAN LORENZO DE QUINTI,Laguna Totoral ,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13301,-76.078734,-11.998857,0
12909,LIMA,OYON,PACHANGARA,Fiesta De La Inmaculada Concepción De La Comunidad Campesina De Huacho,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12909,,,0
12808,ANCASH,ASUNCION,CHACAS,Catarata Gontanga,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12808,-77.32847338,-9.17780076,0
11792,ANCASH,ASUNCION,CHACAS,Quebrada Potaca,SITIOS NATURALES,QUEBRADAS,Quebradas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11792,-77.48306747,-9.14406248,0
12831,ANCASH,ASUNCION,CHACAS,Museo Arqueológico De Chacas,MANIFESTACIONES CULTURALES,MUSEOS Y OTROS,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12831,-77.3661521,-9.1625166,0
13015,ANCASH,HUARI,SAN MARCOS,Mirador Pumawilca,SITIOS NATURALES,ZONAS PAISAJISTICAS,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13015,-77.208588,-9.555578,0
11795,LAMBAYEQUE,CHICLAYO,ETEN,El Alfeñique De Ciudad Eten,FOLCLORE,GASTRONOMIA,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11795,,,0
13896,LAMBAYEQUE,CHICLAYO,ETEN,El Conejo Al Horno De Ciudad Eten,FOLCLORE,GASTRONOMIA,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13896,,,0
9902,JUNIN,HUANCAYO,HUASICANCHA,Balneario De Machu,SITIOS NATURALES,MANANTIALES,Manantiales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9902,-75.2918134,-12.3234174,1
9903,JUNIN,HUANCAYO,CHONGOS ALTO,Laguna Yuraccocha,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9903,-75.4184649,-12.4582434,1
9904,JUNIN,HUANCAYO,HUASICANCHA,Laguna Llacsacocha,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9904,-75.3140557,-12.3950492,1
9906,JUNIN,HUANCAYO,CHACAPAMPA,Cañon De Achapata,SITIOS NATURALES,CANONES,Cañones,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9906,-75.2521026,-12.4018888,1
13491,JUNIN,TARMA,HUARICOLCA,Sitio Arqueologico De Telarhuay Y Balcón Machay,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13491,-75.6577821,-11.5213205,1
9909,JUNIN,HUANCAYO,CHONGOS ALTO,Cerro Wakravilka,SITIOS NATURALES,MONTANAS,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9909,-75.4013674,-12.4763543,1
9910,JUNIN,HUANCAYO,HUASICANCHA,Cerro Librillón Leo Ulo,SITIOS NATURALES,MONTANAS,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9910,-75.3005425,-12.3671383,1
